fideid,name,country,sex,title,w_title,o_title,foa_title,rating,games,k,birthday,flag
3232433,"Arthur, James",AUS,M,,,,,1681,0,40,2009,i
3232441,"Arthur, Matthew",AUS,M,,,NA,,1609,0,40,2006,i
3239462,"Arunachalam, Annamalai",AUS,M,,,,,1582,0,40,1977,
3270670,"Arvind, Rithik Sai",AUS,M,,,,,1539,0,40,2013,
3228690,"Asaka, Samuel",AUS,M,,,,,2215,0,20,2002,
3281710,"Ascott, Patrick",AUS,M,,,,,1743,0,40,2003,
3261417,"Ashok, Akash",AUS,M,,,,,1621,3,40,2013,
3275108,"Ashok, Arjun",AUS,M,,,,,1587,0,40,2015,
3254321,"Ashworth, Matthew",AUS,M,,,,,1834,0,20,2000,i
3248020,"Assa, Khaled",AUS,M,,,,,1663,0,20,1970,
3248038,"Assa, Walid",AUS,M,,,,,1612,0,20,1964,
3234045,"Atanacio, Ricardo",AUS,M,,,,,1910,0,20,1976,i
3229750,"Atia, Ben",AUS,M,,,,,1786,0,40,2005,i
3233561,"Atia, Raphael",AUS,M,,,,,1576,0,40,2007,i
3231194,"Attalla, Abanoub",AUS,M,,,,AFM,1731,0,20,1997,i
3206688,"Attwood, James",AUS,M,,,,,1926,6,20,1966,
2804395,"Atzmon-Simon, Barak",AUS,M,,,,,2133,0,20,1970,i
3269051,"Au Duong, Edbert",AUS,M,,,,,1743,0,40,2007,
3246345,"Au, Oliver",AUS,M,,,,,1438,0,40,2009,i
3234916,"Augustine, Damaris",AUS,F,,,,,1503,0,40,2008,wi
3238237,"Augustine, Darline",AUS,F,,,,,1552,0,40,2010,wi
3241700,"Avdija, Avni",AUS,M,,,,,1641,0,20,1985,i
3217558,"Babic, Zoran",AUS,M,,,,,1896,0,20,1955,i
3254364,"Badalassi, Antonio",AUS,M,,,,,1572,0,20,1994,i
3254372,"Badalassi, Pietro",AUS,M,,,,,1596,0,20,1994,i
3219712,"Badrinarayan, Siddhant",AUS,M,,,,,1749,0,40,2005,i
3276538,"Bai, Dylan",AUS,M,,,,,1570,0,40,2012,
3221695,"Bai, George",AUS,M,,,,,1828,0,20,2001,i
3267466,"Bai, Xuanhao Winston",AUS,M,,,,,1626,0,40,2014,i
3229548,"Bajrami, Samir",AUS,M,,,,,1922,0,20,1977,
3263967,"Baker, David",AUS,M,,,,,1709,0,40,2005,
3253600,"Baker, Thomas",AUS,M,,,,,1701,0,20,1993,i
3248046,"Bala, Cesar",AUS,M,,,,,1677,0,20,1947,i
3239608,"Balasubramanian, Akshanth",AUS,M,,,,,1605,0,40,2006,i
3261425,"Balavignan, Ashvin",AUS,M,CM,,,,1977,7,40,2011,
3212670,"Baldwin, A(tony) C",AUS,M,,,,,1698,0,20,1951,i
3221350,"Ball, Christopher",AUS,M,CM,,,,1890,0,20,1991,
3250342,"Ball, Justin",AUS,M,,,,,1800,0,20,1981,i
3242943,"Bambridge, Greg",AUS,M,,,,,1552,0,20,1975,
3220770,"Banicevic, Roy",AUS,M,,,NA,,1656,6,20,1966,
3273911,"Bansal, Azaan",AUS,M,,,,,1523,3,40,2016,
3241157,"Bao, Nathan",AUS,M,,,,,1555,0,40,2006,i
3229947,"Barakat, Martin",AUS,M,,,,,1848,0,20,1969,
3264319,"Baranowicz, Lukas",AUS,M,,,,,1588,0,20,2001,i
3251381,"Barbare, Ishaan",AUS,M,,,,,1719,0,40,2008,i
3211916,"Barcelona, Eliel",AUS,M,,,,,1704,6,40,1977,
3286800,"Barilla, Michael",AUS,M,,,,,1592,7,40,1981,
3256774,"Barnes, Rossi",AUS,M,,,,,1512,0,40,2010,
3245314,"Barnett, Joshua",AUS,M,,,,,1632,0,40,2008,i
3280845,"Barnstone, Alexander",AUS,M,,,,,1600,5,40,1995,
3202283,"Baron, Michael",AUS,M,FM,,,,2273,0,20,1976,
3245322,"Barone-Peters, Lucca",AUS,M,,,,,1644,0,20,1997,i
3234487,"Barry, David",AUS,M,,,NA,,1792,0,20,1984,i
3255514,"Barz, Max",AUS,M,,,,,1437,0,40,1992,
3253813,"Bassig, Hamish",AUS,M,FM,,,,2061,0,20,2004,i
3201031,"Baterowicz, Mark",AUS,M,,,,,1815,0,20,1944,i
3257940,"Batikyan, Arkadiy",AUS,M,,,,,1606,0,20,2001,i
3265439,"Batyrbekov, Aidan",AUS,M,,,,,1410,0,40,2017,
3265447,"Batyrbekov, Kaisar",AUS,M,,,,,1474,0,40,2016,
3266150,"Batyrbekov, Kuanysh",AUS,M,,,NA,,1529,0,40,1985,i
3227790,"Bayaca, Sterling",AUS,M,FM,,,,2184,0,20,2002,i
3219968,"Bayani, Steffen",AUS,M,,,,,1915,0,20,1954,i
3253317,"Bayin, Leah",AUS,F,,,,,1446,0,20,1986,wi
3269957,"Bayliss, James",AUS,M,,,,,1767,0,40,1996,
3209113,"Beahan, Patrick",AUS,M,,,,,1836,0,20,1975,i
3253562,"Beales, Alex",AUS,M,,,,,1690,0,20,2002,i
3263061,"Beardmore, Steve",AUS,M,,,,,1662,0,20,1956,i
3213889,"Beare, Nick",AUS,M,,,,,1751,8,20,1984,
3267407,"Beath, Sebastien",AUS,M,,,,,1483,0,40,2007,
3201996,"Beaumont, David",AUS,M,CM,,,,2027,0,20,1967,i
3234002,"Beavon-Collin, Margot",AUS,F,,,,,1777,0,20,1994,wi
3206645,"Beckman, John",AUS,M,,,,,1597,0,20,1943,
3201040,"Beeh, Tom",AUS,M,,,,,1671,0,20,1960,
3203972,"Bekker, Gary D",AUS,M,CM,,FI,,1873,0,20,1968,i
3221881,"Bellingham, John",AUS,M,,,,,1840,0,20,1952,i
3278140,"Bennett, Harrison",AUS,M,,,,,1835,0,40,2008,
3213404,"Bennett, Matthew",AUS,M,,,,,1894,0,20,1994,i
3249581,"Bennett, Zac",AUS,M,,,,,1577,0,20,1989,i
3275426,"Berbec, Hamish",AUS,M,,,,,1694,0,40,2006,
3249352,"Berberian, Maxim",AUS,M,,,,,1738,0,40,2008,i
3201937,"Berezina, Irina",AUS,F,IM,WIM,FT,,2096,0,20,1965,w
3210847,"Bergmanis, Olgerts",AUS,M,,,,,1809,0,20,1924,i
3284921,"Berman, Ari",AUS,M,,,,,1932,6,40,2006,
3247376,"Bernal-Garcia, Diego",AUS,M,,,,,1536,0,20,1987,i
3243257,"Berry, Alistair",AUS,M,,,,,1690,6,40,2002,
3216330,"Bhat, Vishal",AUS,M,CM,,,,1983,0,20,2002,i
3250938,"Bhattacharyya, Vedantik",AUS,M,,,,,1766,0,40,2009,i
3247473,"Bhaumik, Ronen",AUS,M,,,,,1755,0,20,2002,i
3283399,"Bian, Tengyi",AUS,M,,,,,1517,0,40,2012,
3267938,"Biazzo, Daniel",AUS,M,,,,,1611,0,40,1999,i
3273725,"Bibby, Dalton",AUS,M,,,,,1516,0,40,1995,i
3212963,"Bickell, Stephen J",AUS,M,,,,,1762,0,20,1955,i
366107990,"Biju, Steve",AUS,M,,,,AFM,1551,0,40,2006,i
3259153,"Billingsley, Anne",AUS,F,,,,,1455,0,40,1999,wi
3210901,"Birchall, Ian",AUS,M,,,,,1956,0,20,1958,i
3277658,"Biscoe, Nick",AUS,M,,,,,1714,0,40,1993,
3203883,"Bishop, Joshua",AUS,M,,,,,1912,0,20,1994,i
4300726,"Bjelobrk, Igor",AUS,M,IM,,,,2365,7,20,1982,
3255930,"Blackberg, Philip",AUS,M,,,,,1694,0,40,1993,
3260216,"Blackman, Angus",AUS,M,,,,,1536,0,40,1990,
3286711,"Blair, Aaron",AUS,M,,,,,1599,7,40,1999,
3259439,"Blakkarly, Jamal",AUS,M,,,,,1574,0,20,1991,i
3238326,"Blaszczyk, Michael",AUS,M,,,,,1780,0,20,1991,i
3255328,"Blenkiron, Angus",AUS,M,,,,,1747,0,40,1999,i
3249360,"Blower, Anthony",AUS,M,,,,,1607,0,20,1956,
3277666,"Blumes, Jacob",AUS,M,,,,,1468,0,40,1989,
3278344,"Blyton, Dreik",AUS,M,,,,,1612,0,40,2007,
3242870,"Boag, Sean",AUS,M,,,,,1558,0,20,2000,i
3266354,"Boccalatte, Mark",AUS,M,,,,,1801,0,40,1972,i
3259021,"Bodke, Krishna",AUS,M,,,,,1553,0,40,2010,
3267695,"Bohan, Sebastien",AUS,M,,,,,1639,0,40,2005,
3250725,"Bolan, Jamie",AUS,M,,,,,1492,0,20,1995,i
3203026,"Bolens, Johny",AUS,M,,,,,1951,0,20,1958,i
3244016,"Bond, Nicholas",AUS,M,,,,,1753,0,40,2006,i
44131356,"Bondareva, Daria",AUS,F,WCM,WCM,,,1976,0,20,2005,wi
3205649,"Bonham, Kevin",AUS,M,,,,,1829,0,40,1972,
3231976,"Bonneville, Adam",AUS,M,,,,,1632,0,20,1981,i
3277100,"Booth, Guy",AUS,M,,,,,1547,10,40,1970,
3252582,"Booth, Wayne",AUS,M,,,,,1531,0,20,1977,i
3224678,"Boss, Stephen",AUS,M,,,,,1883,0,20,1980,
3237893,"Boswarva, Ernest",AUS,M,,,,,1711,0,20,1953,i
3278158,"Boulanger, Sem",AUS,M,,,,,1695,0,40,2003,
3259455,"Bowmaker-Ksiazek, Koe",AUS,M,,,,,1468,0,20,1996,
3239128,"Boyd-Norman, James",AUS,M,,,,,1855,0,40,2007,
3227162,"Boylan, Peter",AUS,M,,,,,1755,0,20,2001,i
3286720,"Brackenridge, Zeno",AUS,M,,,,,1593,5,40,2017,
3259986,"Bradbery, Clare",AUS,F,,,,,1573,0,40,2007,wi
3236811,"Brady, Aiden",AUS,M,,,,,1919,0,20,2000,i
3217779,"Braguine, Victor",AUS,M,,,,,1819,0,20,1949,
3234860,"Brand, Peter",AUS,M,,,,,1878,0,20,1967,i
3252590,"Brdaric, Nikolaj",AUS,M,,,,,1431,0,40,2011,
3240088,"Breeden, Marek",AUS,M,,,NA,,1602,0,20,1993,
3275868,"Breslin, Oscar",AUS,M,,,,,1958,0,40,2004,
3252507,"Brick, Chris",AUS,M,,,,,1487,0,20,1985,i
3228010,"Bristina, Husein",AUS,M,,,,,1953,0,20,1974,i
3270270,"Britt, Nathan",AUS,M,,,,,1716,0,40,2000,i
3216594,"Brodzky, Leonid",AUS,M,,,,,1679,0,20,1938,
3202925,"Broekhuyse, Paul",AUS,M,,,,,1984,0,20,1965,i
3260704,"Brogan, Mark",AUS,M,,,,,1605,0,20,1975,i
3206513,"Brown, Andrew",AUS,M,IM,,,,2301,0,20,1992,i
3256502,"Brown, Arnoud",AUS,M,,,,,1617,0,40,2012,
3254739,"Brown, Daniel",AUS,M,,,,,1630,0,20,1991,
3263444,"Brown, Heath",AUS,M,,,,,1861,7,20,2004,
3223078,"Brown, Jordan",AUS,M,,,,,1785,0,20,1999,
3220796,"Brown, Joshua",AUS,M,,,,,1884,0,20,1998,i
3259161,"Brown, Liam",AUS,M,,,,,1592,0,40,2003,i
3281086,"Brown, Michael",AUS,M,,,,,1577,0,40,1996,
3220800,"Brown, Nicholas",AUS,M,,,,,1971,0,20,1996,i
3247813,"Brown, Oscar",AUS,M,,,,,1644,0,20,1999,i
3233758,"Brown, Ted",AUS,M,,,,,1681,0,20,1946,i
3286738,"Bryan, Zachary",AUS,M,,,,,1919,5,40,2005,
3258068,"Bryant, Ben",AUS,M,,,,,1705,0,20,1977,i
3249166,"Bu, Austin",AUS,M,,,,,1545,0,40,2013,i
3208516,"Buciu, Aurel-John",AUS,M,CM,,,,1836,0,20,1965,i
3246973,"Buckley, James",AUS,M,,,,,1603,0,20,1985,
3247155,"Buhagiar, Aden",AUS,M,,,,,1659,0,20,2001,
3262430,"Bui, Anthony",AUS,M,,,,,1597,0,40,2007,i
3264335,"Bullock, Owen",AUS,M,,,,,1443,0,20,1967,i
3271552,"Bullock, Stuart",AUS,M,,,,,1606,0,40,1963,i
3261832,"Bumbak, Jacob",AUS,M,,,,,1716,0,40,1994,
3270289,"Burke, Joshua",AUS,M,,,,,1537,0,40,2003,
343109868,"Burley, Sean",AUS,M,,,,,1542,0,40,2001,
3267415,"Burns-Jansen, Felix",AUS,M,,,,,1672,0,40,2004,i
3225011,"Butler, Brian J",AUS,M,,,,,1827,0,20,1953,
3217159,"Buza, Muhamed",AUS,M,,,,,1765,0,20,1940,i
3251888,"Byng, Riley",AUS,M,,,,,1770,0,20,2006,
3222608,"Cabale, Nazarito",AUS,M,,,,,1918,0,20,1959,
3202372,"Cabilin, Jeff",AUS,M,CM,,,,1846,0,20,1957,
3247554,"Cadag, Herbert",AUS,M,,,,ACM,1802,0,20,1979,i
5269075,"Cafirma, Elize Caryl",AUS,F,,,,,1703,0,20,1997,wi
3277798,"Cairns, Orson",AUS,M,,,,,1543,0,40,2000,
3233367,"Calado, Edward",AUS,M,,,,,1939,0,20,1972,i
3215741,"Calixto, Reynante",AUS,M,,,,,1976,0,20,1956,i
32002963,"Calonge Fabregat, Marc",AUS,M,,,NA,,1954,7,20,1996,
3203590,"Camer, Angelito",AUS,M,FM,,,,2016,0,20,1958,i
3246981,"Campbell, Henry",AUS,M,,,,,1674,0,20,2000,i
3221903,"Campbell, Paul",AUS,M,,,,,1816,0,20,1982,
3240371,"Can, Ryan",AUS,M,,,,,1767,0,20,1998,i
3213110,"Cannon, David",AUS,M,IM,,,,2050,0,20,2001,
3280314,"Cantafio, Alexander",AUS,M,,,,,1939,5,40,2009,
3267156,"Cao, Ziruo",AUS,F,,,,,1599,0,40,2003,w
3203751,"Capilitan, Romeo",AUS,M,,,,,2047,0,20,1964,i
3208753,"Carden, Matthew",AUS,M,,,,,1644,0,20,1956,i
3238768,"Cargill, Rowan",AUS,M,,,,,1672,0,20,2002,i
3254526,"Carollo, Robert",AUS,M,,,,,1645,0,20,1995,i
3275302,"Carpenter, Noah",AUS,M,,,,,1816,0,40,2003,
3263452,"Carruthers, Ethan",AUS,M,,,NA,,1444,0,20,2004,
3247392,"Carruthers, Khani",AUS,M,,,,,1452,0,40,2009,i
3266907,"Carter, Mason",AUS,M,,,,,1896,0,20,1998,
3256367,"Caruso, Connor",AUS,M,,,,,1479,0,40,2012,
3277801,"Cash, Aidan",AUS,M,,,NA,,1668,0,40,2002,
3218457,"Cassettari, Peter",AUS,M,,,,,1764,0,20,1948,i
3253619,"Cassidy, John",AUS,M,,,,,1655,0,20,1974,i
3239519,"Cauchi, John Paul",AUS,M,,,,,1619,0,20,1992,
3258491,"Cavosie-Pletsch, Yasmina",AUS,F,,,,,1528,0,40,2008,wi
3210561,"Cervenjak, Mark",AUS,M,,,,,1655,0,20,1964,
3259218,"Ceylan, Mehmed",AUS,M,,,,,1794,0,40,2006,i
3205657,"Chadwick, Charles",AUS,M,,,,,1936,0,20,1951,i
3256944,"Chakrabarty, Reyaansh",AUS,M,FM,,,,2086,7,40,2014,
3213412,"Champion, Patrick",AUS,M,,,,,1948,0,20,1984,i
3236765,"Chan, Bayley",AUS,M,,,,,1597,0,40,2007,i
3239624,"Chan, Bennett",AUS,M,,,,,1518,0,20,2004,i
61100013,"Chan, Benny",AUS,M,,,,,1625,0,40,2008,
3279359,"Chan, Daniel",AUS,M,,,,,1546,0,40,1995,
3241440,"Chan, Darryl",AUS,M,,,,,1784,0,20,1995,
3227880,"Chan, Jacob Joseph",AUS,M,,,,,1845,0,20,2001,i
3203875,"Chan, Jason",AUS,M,,,,,2053,0,20,1981,i
3230180,"Chan, Jordan",AUS,M,,,,,1653,0,40,2005,i
3216349,"Chan, Kris",AUS,M,FM,,,,1983,0,20,2002,i
3216357,"Chan, Luis",AUS,M,FM,,,,2137,0,20,2003,
3229777,"Chan, Lyanna",AUS,F,,,,,1572,0,20,2004,wi
3271900,"Chan, Nestor",AUS,M,,,,,1913,0,40,2009,
3250350,"Chan, Thomas",AUS,M,,,,,1585,0,20,1982,i
3227430,"Chandrakumaran, Lemuel",AUS,M,,,,ACM,1615,0,20,1988,i
3245080,"Chang, Ethan",AUS,M,,,,,1846,0,40,2010,
3267474,"Chang, Ike",AUS,M,,,,,1582,0,40,2015,
3229270,"Chang, Sophie",AUS,F,,,,,1599,0,40,2007,wi
3242331,"Charbonneau, Romain",AUS,M,,,,,1545,0,40,2010,i
3203000,"Charles, Gareth",AUS,M,CM,,,,1994,0,20,1983,i
3279456,"Chawla, Arjun",AUS,M,,,,,1618,0,40,2011,
3231380,"Cheah, Chris",AUS,M,,,,,1605,0,20,2003,i
3258777,"Chee, Archie",AUS,M,,,,,1591,0,40,2005,i
3210065,"Cheema, Mohammad",AUS,M,,,,,1774,0,20,1975,
3261689,"Chen, Albert",AUS,M,,,,,1536,0,40,2011,i
3251390,"Chen, Angus",AUS,M,,,,,1724,0,40,2013,
3232638,"Chen, Austin",AUS,M,,,,,1743,0,40,2008,
3260798,"Chen, Charlotte",AUS,F,,,,,1561,0,40,2013,w
3260801,"Chen, Cindy",AUS,F,,,,,1485,0,40,2013,w
3243664,"Chen, Daniel Jingxi",AUS,M,,,,,1712,0,40,2010,i
3241955,"Chen, Dean",AUS,M,,,,,1677,0,40,2011,i
3253040,"Chen, Isaac",AUS,M,,,,,1501,0,40,2013,
3267954,"Chen, Jason",AUS,M,,,,,1519,0,40,2002,i
3248275,"Chen, Jethro",AUS,M,,,,ACM,1509,0,40,2012,i
3241173,"Chen, Kevin (jinwen)",AUS,M,,,,,1765,0,40,2010,i
3223191,"Chen, Lachlan",AUS,M,,,,,1752,0,40,2005,i
3260712,"Chen, Louis",AUS,M,,,,,1564,0,40,2015,
3263258,"Chen, Martin",AUS,M,,,,,1564,0,40,2012,
3261298,"Chen, Max",AUS,M,,,,,1540,0,40,2012,
3267164,"Chen, Micah",AUS,M,,,,,1485,0,40,2009,i
3270440,"Chen, Nicholas Yuileng",AUS,M,,,,,1556,5,40,2017,
3253627,"Chen, Taiming",AUS,M,,,,,1504,0,40,2014,i
3262294,"Chen, Tom",AUS,M,,,,,1668,0,20,2003,
3249379,"Chen, Xinkuang (Jimmy)",AUS,M,,,,,1725,0,40,2011,i
3233588,"Cheng, Amanda",AUS,F,,,,,1837,0,20,2003,wi
4300033,"Cheng, Bobby",AUS,M,GM,,,,2507,0,10,1997,i
3232468,"Cheng, Chao Xin",AUS,F,WFM,WFM,,,1856,0,40,2007,wi
3226700,"Cheng, Gavin",AUS,M,,,,,1791,0,20,1996,i
3244776,"Cheng, Jerry",AUS,M,,,,,1744,5,40,2013,
3241939,"Cheng, Larry",AUS,M,,,,,1861,6,40,2009,
3246213,"Chesney, David",AUS,M,,,,,1664,0,40,1989,i
3216772,"Cheung, Jared",AUS,M,,,,,1788,0,20,2000,i
3219062,"Chew Lee, Adrian",AUS,M,,,,,1704,0,20,1957,i
3215164,"Chew Lee, Alanna",AUS,F,WCM,WCM,FA,,1753,0,20,2000,wi
3213137,"Chew Lee, Max",AUS,M,FM,,,,2100,0,20,1999,i
3215172,"Chew, Jason",AUS,M,,,,,1825,0,20,2000,i
3250369,"Chhabra, Aseem",AUS,M,,,,,1491,0,40,1990,i
3261301,"Chi, Jaden",AUS,M,,,,,1745,0,40,2014,
3201597,"Chiara, Vincenzo",AUS,M,,,,,1620,0,20,1956,i
3208613,"Chibnall, Alana",AUS,F,WFM,WFM,,,1892,0,20,1991,w
3233596,"Chiddy, Lance",AUS,M,,,,,1423,0,20,1979,
3285049,"Chila, Jackson",AUS,M,,,,,1673,0,40,2008,
3214192,"Childs, Stephen",AUS,M,,,,,1749,0,20,1947,i
3275876,"Chin, Vi-King",AUS,M,,,,,1663,0,40,2000,
3214370,"Chisholm, Tom R",AUS,M,,,,,1862,0,20,1975,
3236919,"Chiu, Adrian",AUS,M,,,,,1757,0,20,1993,i
3236927,"Chiu, Edwin",AUS,M,,,,,1878,0,20,1997,i
3276937,"Chiu, Raiden",AUS,M,,,,,1505,3,40,2011,
3223205,"Chiverton, Barnaby",AUS,M,,,,,1533,0,20,1969,i
3223213,"Chiverton, Fergus",AUS,M,,,,,1803,0,20,2005,i
3207463,"Chmiel, Rad",AUS,M,,,,,1748,0,20,1971,
3212270,"Chong, Reginald",AUS,M,,,,,1834,0,20,1952,
3261450,"Chong, Seth",AUS,M,,,,,1739,0,40,2006,
3281094,"Choo, Derek",AUS,M,,,,,1577,0,40,1993,
3202992,"Chow, Samuel",AUS,M,FM,,,,2333,0,20,1987,
3282899,"Chowdhury, Mahriz",AUS,M,,,,,1739,0,40,2010,
3205371,"Christensen, Joshua",AUS,M,,,,,1879,0,20,1982,i
3229041,"Christensen, Matthew",AUS,M,,,,,1672,0,20,1985,i
3209920,"Christian, Kashish",AUS,F,WCM,WCM,,,1817,0,20,2000,wi
3275051,"Christianopoulos, Mitchell",AUS,M,,,,,1687,0,40,2008,
3280675,"Chu, Austin",AUS,F,,,,,1646,0,40,2014,w
3270459,"Chu, Olivia",AUS,F,,,,,1480,0,40,2013,w
3208540,"Chua, Manny",AUS,M,,,,,1849,0,20,1944,i
311214934,"Chugunov, Vladimir",AUS,M,,,,,1877,0,20,1986,i
3283135,"Chui, William",AUS,M,,,,,1707,0,40,1993,
3216659,"Chung, Edwin Shu Hon",AUS,M,,,,,1887,0,20,1992,i
3207471,"Chung, Francisco",AUS,M,,,,,1936,0,20,,i
3272281,"Ciarliero, Frank",AUS,M,,,,,1682,0,40,1988,
3239470,"Claridge, Finn",AUS,M,,,,,1734,0,20,2002,i
3238318,"Clark, Peter",AUS,M,,,,,1570,0,20,1955,
3247570,"Clarke, Daniel",AUS,M,,,NA,,1721,0,20,1985,i
3227804,"Clarke, Matthew",AUS,M,FM,,,,2004,0,20,2003,i
3215784,"Clouston, Bevan",AUS,M,,,,,1840,0,20,1987,i
3253660,"Clubb, Alexander",AUS,M,,,,,1678,0,20,1991,i
3252868,"Colbert, Jack",AUS,M,,,,,1432,0,20,2000,i
3210731,"Colliver, Scott",AUS,M,,,FA,,1682,0,40,1978,
3249174,"Coluccio, Robert",AUS,M,,,,,1618,0,20,1990,i
3251675,"Commisso, Anthony",AUS,M,,,,,1542,0,40,2004,
311104781,"Connell, Chris",AUS,M,,,,,1503,0,40,1962,
3201066,"Cook, David",AUS,M,,,,,1650,0,20,1960,
3210332,"Cook, Geoff L",AUS,M,,,,,1743,0,20,1945,
3254747,"Cook, Jon",AUS,M,,,,,1544,0,20,1945,i
3236838,"Cooper, Joshua",AUS,M,,,,,1652,0,40,2010,
3221717,"Cooper, Linus",AUS,M,,,,,1849,0,20,2000,i
3253678,"Cooper, Matt",AUS,M,,,,,1591,0,20,1989,
3220400,"Cooper, Nicholas",AUS,M,,,,,1884,0,20,1976,i
3254798,"Coracas, Tass",AUS,M,,,,,1805,0,40,2010,
3236340,"Corona, Fabrizio",AUS,M,,,,,1679,0,20,1968,
3236935,"Corona, Jonluke",AUS,M,,,,,1786,0,40,2010,
3254399,"Coward, Michael",AUS,M,,,,,1479,0,20,1996,i
3257657,"Cox, Braiden",AUS,M,,,NA,,1744,0,20,2004,
3253350,"Cox, James",AUS,M,,,,,1826,0,40,2009,
